Batch,Generasi,Rute,Fitness,Jarak
303,15,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,16,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,17,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,18,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,19,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,20,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,21,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,22,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,23,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,24,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,25,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,26,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,27,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,28,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,29,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,30,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,31,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,32,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,33,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,34,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,35,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,36,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,37,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,38,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,39,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,40,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,41,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,42,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,43,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,44,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,45,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,46,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,47,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,48,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,49,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
303,50,Kebon Kawung ➝ Pasir Kaliki ➝ Buah Batu ➝ Jalan Braga ➝ Cihampelas ➝ Dago,0.075947,13.17
304,1,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,2,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,3,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,4,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,5,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,6,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,7,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
